ego_lat,ego_lng,f_c,f_1,f_2,dist_to_dest,dist_to_c,dist_to_a1,dist_to_a2
42.8653,-105.695,1.26105e+10,9.99705e+06,0,898.014,199.935,251.683,915.316
42.8654,-105.696,1.26235e+10,9.99775e+06,0,897.942,199.867,251.674,915.248
42.8655,-105.697,1.26364e+10,9.99845e+06,0,897.87,199.798,251.666,915.18
42.8656,-105.697,1.26494e+10,9.99915e+06,0,897.798,199.73,251.657,915.113
42.8657,-105.698,1.26624e+10,9.99985e+06,0,897.727,199.662,251.648,915.045
42.8658,-105.699,1.26754e+10,1.00005e+07,0,897.655,199.593,251.639,914.977
42.8659,-105.7,1.26885e+10,1.00012e+07,0,897.583,199.525,251.63,914.909
42.866,-105.701,1.27015e+10,1.00019e+07,0,897.511,199.456,251.622,914.842
42.8661,-105.702,1.27146e+10,1.00026e+07,0,897.439,199.388,251.613,914.774
42.8662,-105.703,1.27277e+10,1.00033e+07,0,897.367,199.32,251.604,914.706
42.8663,-105.704,1.27408e+10,1.0004e+07,0,897.295,199.251,251.595,914.638
42.8664,-105.704,1.27539e+10,1.00047e+07,0,897.223,199.183,251.587,914.571
42.8665,-105.705,1.27671e+10,1.00054e+07,0,897.151,199.114,251.578,914.503
42.8666,-105.706,1.27803e+10,1.00061e+07,0,897.079,199.046,251.569,914.435
42.8667,-105.707,1.27934e+10,1.00068e+07,0,897.007,198.978,251.56,914.367
42.8668,-105.708,1.28066e+10,1.00075e+07,0,896.935,198.909,251.552,914.3
42.8669,-105.709,1.28199e+10,1.00082e+07,0,896.864,198.841,251.543,914.232
42.867,-105.71,1.28331e+10,1.00089e+07,0,896.792,198.773,251.534,914.164
42.8671,-105.71,1.28463e+10,1.00096e+07,0,896.72,198.704,251.525,914.096
42.8672,-105.711,1.28596e+10,1.00103e+07,0,896.648,198.636,251.517,914.029
42.8673,-105.712,1.28729e+10,1.0011e+07,0,896.576,198.567,251.508,913.961
42.8674,-105.713,1.28862e+10,1.00117e+07,0,896.504,198.499,251.499,913.893
42.8675,-105.714,1.28995e+10,1.00124e+07,0,896.432,198.431,251.49,913.825
42.8676,-105.715,1.29129e+10,1.00131e+07,0,896.36,198.362,251.482,913.758
42.8677,-105.716,1.29263e+10,1.00138e+07,0,896.288,198.294,251.473,913.69
42.8678,-105.717,1.29396e+10,1.00145e+07,0,896.216,198.225,251.464,913.622
42.8678,-105.717,1.2953e+10,1.00152e+07,0,896.145,198.157,251.455,913.554
42.8679,-105.718,1.29664e+10,1.00159e+07,0,896.073,198.089,251.447,913.487
42.868,-105.719,1.29799e+10,1.00166e+07,0,896.001,198.02,251.438,913.419
42.8681,-105.72,1.29933e+10,1.00173e+07,0,895.929,197.952,251.429,913.351
42.8682,-105.721,1.30068e+10,1.0018e+07,0,895.857,197.884,251.42,913.284
42.8683,-105.722,1.30203e+10,1.00186e+07,0,895.785,197.815,251.412,913.216
42.8684,-105.723,1.30338e+10,1.00193e+07,0,895.713,197.747,251.403,913.148
42.8685,-105.724,1.30473e+10,1.002e+07,0,895.641,197.679,251.394,913.08
42.8686,-105.724,1.30609e+10,1.00207e+07,0,895.57,197.61,251.386,913.013
42.8687,-105.725,1.30744e+10,1.00214e+07,0,895.498,197.542,251.377,912.945
42.8688,-105.726,1.3088e+10,1.00221e+07,0,895.426,197.473,251.368,912.877
42.8689,-105.727,1.31016e+10,1.00228e+07,0,895.354,197.405,251.36,912.81
42.869,-105.728,1.31153e+10,1.00235e+07,0,895.282,197.337,251.351,912.742
42.8691,-105.729,1.31289e+10,1.00242e+07,0,895.21,197.268,251.342,912.674
42.8692,-105.73,1.31426e+10,1.00249e+07,0,895.138,197.2,251.333,912.606
42.8693,-105.731,1.31562e+10,1.00256e+07,0,895.066,197.132,251.325,912.539
42.8694,-105.731,1.31699e+10,1.00263e+07,0,894.995,197.063,251.316,912.471
42.8695,-105.732,1.31836e+10,1.0027e+07,0,894.923,196.995,251.307,912.403
42.8696,-105.733,1.31974e+10,1.00277e+07,0,894.851,196.927,251.299,912.336
42.8697,-105.734,1.32111e+10,1.00284e+07,0,894.779,196.858,251.29,912.268
42.8698,-105.735,1.32249e+10,1.00291e+07,0,894.707,196.79,251.281,912.2
42.8698,-105.736,1.32387e+10,1.00297e+07,0,894.635,196.722,251.273,912.132
42.8699,-105.737,1.32525e+10,1.00304e+07,0,894.564,196.653,251.264,912.065
42.87,-105.738,1.32663e+10,1.00311e+07,0,894.492,196.585,251.255,911.997
